RecordID,MAK,BaseMAK,Address,Suite,City,State,HouseNumber,StreetPreDirection,StreetName,StreetSuffix,StreetPostDirection,SuiteType,SuiteNumber,ZipCode,ZipCodePlus4,Latitude,Longitude,CensusKey,CensusKeyDecennial,GeoLevel,PlaceCode,ElevationInMeters
1,1000228220,,15 Mirabella,,Rancho Santa Margarita,CA,15,,Mirabella,,,,,92688,1301,33.652279,-117.587456,060590320512002,060590320512002,Rooftop,0659587,
2,1000583797,,45 Gaviota,,Rancho Santa Margarita,CA,45,,Gaviota,,,,,92688,1610,33.648297,-117.589720,060590320514000,060590320514000,Rooftop,0659587,330.51
3,1000990302,,44 Via Joaquin,,Rancho Santa Margarita,CA,44,,Via Joaquin,,,,,92688,1991,33.643763,-117.585036,060590320554009,060590320554009,Rooftop,0659587,331.56
4,1001000824,,135 Mira Mesa,,Rancho Santa Margarita,CA,135,,Mira Mesa,,,,,92688,3402,33.657294,-117.612407,060590320494000,060590320494000,Rooftop,0659587,335.03
5,1001631883,,18 Calle Arcos,,Rancho Santa Margarita,CA,18,,Calle Arcos,,,,,92688,2644,33.624475,-117.611969,060590320531037,060590320531037,Rooftop,0659587,257.74
6,1001743317,,11 Buckthorn,,Rancho Santa Margarita,CA,11,,Buckthorn,,,,,92688,1142,33.651157,-117.587372,060590320513000,060590320513000,Rooftop,0659587,339.03
7,1002173389,9822202563,22482 Alma Aldea,Apt 203,Rancho Santa Margarita,CA,22482,,Alma Aldea,,,Apt,203,92688,2835,33.635324,-117.593574,060590320543004,060590320543004,Rooftop,0659587,296.61
8,1004745194,,2 Ibiza,,Rancho Santa Margarita,CA,2,,Ibiza,,,,,92688,2929,33.635496,-117.598943,060590320544007,060590320544007,Rooftop,0659587,295.42
9,1005238322,,3 Via Zapador,,Rancho Santa Margarita,CA,3,,Via Zapador,,,,,92688,1975,33.644982,-117.585493,060590320554004,060590320554004,Rooftop,0659587,330.77
10,1005359161,,14 Tierra Seguro,,Rancho Santa Margarita,CA,14,,Tierra Seguro,,,,,92688,3236,33.653446,-117.616920,060590320492003,060590320492003,Rooftop,0659587,
11,1005752209,,47 Castletree,,Rancho Santa Margarita,CA,47,,Castletree,,,,,92688,5528,33.592298,-117.621783,060590320653004,060590320653004,Rooftop,0640526,227.81
12,1005797685,,35 Pinzon,,Rancho Santa Margarita,CA,35,,Pinzon,,,,,92688,2981,33.619873,-117.619728,060590320532009,060590320532009,Rooftop,0659587,
13,1006819819,,17 Orchid,,Rancho Santa Margarita,CA,17,,Orchid,,,,,92688,1445,33.651405,-117.579559,060590320502014,060590320502014,Rooftop,0659587,
14,1007119866,,29911 Aventura,,Rancho Santa Margarita,CA,29911,,Aventura,,,,,92688,2016,33.636500,-117.608324,060590320531004,060590320531004,Rooftop,0659587,278.24
15,1007205103,2471898431,30751 El Corazon,Apt 352,Rancho Santa Margarita,CA,30751,,El Corazon,,,Apt,352,92688,3805,33.638795,-117.595078,060590320541016,060590320541016,Rooftop,0659587,303.13
16,1007278045,,139 Timbre,,Rancho Santa Margarita,CA,139,,Timbre,,,,,92688,2038,33.637089,-117.610870,060590320531005,060590320531005,Rooftop,0659587,
17,1007320950,5881891647,29752 Melinda Rd,Apt 1532,Rancho Santa Margarita,CA,29752,,Melinda,Rd,,Apt,1532,92688,3467,33.652520,-117.609879,060590320494011,060590320494011,Rooftop,0659587,318.72
18,1007847236,,26 Leonado,,Rancho Santa Margarita,CA,26,,Leonado,,,,,92688,1643,33.646576,-117.590546,060590320513005,060590320513005,Rooftop,0659587,
19,1008173006,,4 Via Esperanza,,Rancho Santa Margarita,CA,4,,Via Esperanza,,,,,92688,1941,33.648048,-117.582169,060590320551002,060590320551002,Rooftop,0659587,
20,1008178253,,52 Calle De Felicidad,,Rancho Santa Margarita,CA,52,,Calle De Felicidad,,,,,92688,2884,33.636812,-117.595790,060590320541023,060590320541023,Rooftop,0659587,299.10
21,1008571286,5654828256,22362 Gilberto,Ste 121,Rancho Santa Margarita,CA,22362,,Gilberto,,,Ste,121,92688,2142,33.637619,-117.604831,060590320531001,060590320531001,Rooftop,0659587,284.55
22,1008885828,,10 Via Azur,,Rancho Santa Margarita,CA,10,,Via Azur,,,,,92688,3109,33.649134,-117.623527,060590320483007,060590320483007,Rooftop,0659587,315.19
23,1009531583,7958392597,29851 Aventura,Unit 81036,Rancho Santa Margarita,CA,29851,,Aventura,,,Unit,81036,92688,8242,33.636760,-117.609379,060590320531004,060590320531004,Rooftop,0659587,277.64
24,1010475091,,41 Via Solano,,Rancho Santa Margarita,CA,41,,Via Solano,,,,,92688,1331,33.655118,-117.586896,060590320503000,060590320503000,Rooftop,0659587,344.08
25,1010898855,,23111 Antonio Pkwy,,Rancho Santa Margarita,CA,23111,,Antonio,Pkwy,,,,92688,2661,33.626619,-117.606114,060590320531031,060590320531031,Rooftop,0659587,267.24
26,1010942678,,35 Vista Barranca,,Rancho Santa Margarita,CA,35,,Vista Barranca,,,,,92688,1012,33.656662,-117.584816,060590320501001,060590320501001,Rooftop,0659587,354.12
27,1011559103,,50 El Prisma,,Rancho Santa Margarita,CA,50,,El Prisma,,,,,92688,3113,33.648809,-117.623669,060590320483007,060590320483007,Rooftop,0659587,312.41
28,1012446330,,30082 Melinda Rd,,Rancho Santa Margarita,CA,30082,,Melinda,Rd,,,,92688,3439,33.659607,-117.617720,060590320494009,060590320494009,Rooftop,0659587,359.12
29,1012840325,,7 Via Caseta,,Rancho Santa Margarita,CA,7,,Via Caseta,,,,,92688,4947,33.618202,-117.621456,060590320532000,060590320532000,Rooftop,0659587,241.15
30,1013007029,,19 Via Anadeja,,Rancho Santa Margarita,CA,19,,Via Anadeja,,,,,92688,3426,33.662050,-117.614404,060590320494002,060590320494002,Rooftop,0659587,358.50
31,1014023799,,6 Via Brida,,Rancho Santa Margarita,CA,6,,Via Brida,,,,,92688,3306,33.651172,-117.614002,060590320484001,060590320484001,Rooftop,0659587,317.58
32,1014789680,9853209665,22461 Antonio Pkwy,Ste A160,Rancho Santa Margarita,CA,22461,,Antonio,Pkwy,,Ste,A160,92688,3911,33.636763,-117.591107,060590320543000,060590320543000,Rooftop,0659587,304.80
33,1015336545,,7 Saltillo,,Rancho Santa Margarita,CA,7,,Saltillo,,,,,92688,3420,33.660823,-117.613489,060590320494007,060590320494007,Rooftop,0659587,350.46
34,1016819304,,16 San Tomas,,Rancho Santa Margarita,CA,16,,San Tomas,,,,,92688,2502,33.636787,-117.620875,060590320343001,060590320343001,Rooftop,0659587,262.05
35,1018134716,,28 Calle De Los Ninos,,Rancho Santa Margarita,CA,28,,Calle De Los Ninos,,,,,92688,2816,33.637157,-117.594856,060590320541023,060590320541023,Rooftop,0659587,
36,1018377128,,15 Via Pausa,,Rancho Santa Margarita,CA,15,,Via Pausa,,,,,92688,2975,33.619762,-117.614647,060590320533003,060590320533003,Rooftop,0659587,
37,1018457260,1748370077,PO Box 81035,,Rancho Santa Margarita,CA,81035,,PO Box,,,,,92688,8135,33.636760,-117.609379,060590320531004,060590320531004,Rooftop,0659587,277.64
38,1018586319,,9 Sunny Slope,,Rancho Santa Margarita,CA,9,,Sunny Slope,,,,,92688,5556,33.590611,-117.623134,060590320653004,060590320653004,Rooftop,0640526,225.65
39,1018916015,7958392597,29851 Aventura,Unit 80452,Rancho Santa Margarita,CA,29851,,Aventura,,,Unit,80452,92688,8219,33.636760,-117.609379,060590320531004,060590320531004,Rooftop,0659587,277.64
40,1018981985,,28 Plushstone,,Rancho Santa Margarita,CA,28,,Plushstone,,,,,92688,3514,33.649926,-117.610371,060590320493009,060590320493009,Rooftop,0659587,310.82
41,1020558048,5948885044,21022 Los Alisos Blvd,Apt 516,Rancho Santa Margarita,CA,21022,,Los Alisos,Blvd,,Apt,516,92688,3249,33.655800,-117.622043,060590320492012,060590320492012,Rooftop,0659587,337.18
42,1020709820,1207190319,38 Via Amistosa,Apt G,Rancho Santa Margarita,CA,38,,Via Amistosa,,,Apt,G,92688,1937,33.646248,-117.578982,060590320552001,060590320552001,Rooftop,0659587,343.09
43,1021975246,,59 Timbre,,Rancho Santa Margarita,CA,59,,Timbre,,,,,92688,2035,33.636707,-117.613518,060590320531005,060590320531005,Rooftop,0659587,
44,1023068067,,5 Dancing Cloud Ct,,Rancho Santa Margarita,CA,5,,Dancing Cloud,Ct,,,,92688,8720,33.583742,-117.626524,060590320654018,060590320654018,Rooftop,0640526,194.34
45,1023723098,,46 Brisa Fresca,,Rancho Santa Margarita,CA,46,,Brisa Fresca,,,,,92688,3319,33.651037,-117.618332,060590320484003,060590320484003,Rooftop,0659587,330.61
46,1024400392,5948885044,21022 Los Alisos Blvd,Apt 327,Rancho Santa Margarita,CA,21022,,Los Alisos,Blvd,,Apt,327,92688,3247,33.655800,-117.622043,060590320492012,060590320492012,Rooftop,0659587,337.18
47,1025284418,,29 Rolling Rdg,,Rancho Santa Margarita,CA,29,,Rolling,Rdg,,,,92688,8708,33.584803,-117.622486,060590320654012,060590320654012,Rooftop,0640526,216.01
48,1025475690,,3 Santa Nella,,Rancho Santa Margarita,CA,3,,Santa Nella,,,,,92688,2686,33.629412,-117.611467,060590320531005,060590320531005,Rooftop,0659587,270.47
49,1025643119,,39 Carnation,,Rancho Santa Margarita,CA,39,,Carnation,,,,,92688,1454,33.651180,-117.579628,060590320502012,060590320502012,Rooftop,0659587,354.65
50,1025825554,,1 Greenvale,,Rancho Santa Margarita,CA,1,,Greenvale,,,,,92688,5516,33.597879,-117.622669,060590320653001,060590320653001,Rooftop,0640526,220.62
51,1026035968,,18 Santa Fe,,Rancho Santa Margarita,CA,18,,Santa Fe,,,,,92688,2854,33.634434,-117.594633,060590320544012,060590320544012,Rooftop,0659587,294.70
52,1026859010,,10 Brisa Fresca,,Rancho Santa Margarita,CA,10,,Brisa Fresca,,,,,92688,3313,33.652322,-117.620458,060590320484001,060590320484001,Rooftop,0659587,333.77
53,1027112994,,266 Via Serena,,Rancho Santa Margarita,CA,266,,Via Serena,,,,,92688,1732,33.644675,-117.594867,060590320511002,060590320511002,Interpolated,0659587,310.82
54,1027753830,8238412940,22412 Gilberto,Ste A,Rancho Santa Margarita,CA,22412,,Gilberto,,,Ste,A,92688,2179,33.637019,-117.604813,060590320531001,060590320531001,Rooftop,0659587,283.61
55,1027780855,,19 Radiance Ln,,Rancho Santa Margarita,CA,19,,Radiance,Ln,,,,92688,8712,33.584233,-117.626691,060590320654010,060590320654010,Rooftop,0640526,194.79
56,1027833919,,71 Montana Del Lago Dr,,Rancho Santa Margarita,CA,71,,Montana Del Lago,Dr,,,,92688,1362,33.649338,-117.585068,060590320512004,060590320512004,Rooftop,0659587,341.19
57,1030173247,,40 Shea Rdg,,Rancho Santa Margarita,CA,40,,Shea,Rdg,,,,92688,8700,33.581661,-117.623282,060590320654006,060590320654006,Rooftop,0640526,220.15
58,1030386628,,44 Vista La Cuesta,,Rancho Santa Margarita,CA,44,,Vista La Cuesta,,,,,92688,1001,33.655964,-117.583824,060590320501003,060590320501003,Rooftop,0659587,
59,1031924731,,3 Las Alforjas,,Rancho Santa Margarita,CA,3,,Las Alforjas,,,,,92688,1247,33.650875,-117.594567,060590320503010,060590320503010,Rooftop,0659587,321.57
60,1032487897,,66 Pomelo,,Rancho Santa Margarita,CA,66,,Pomelo,,,,,92688,4974,33.616927,-117.613369,060590320652001,060590320652001,Rooftop,0659587,243.09
61,1032508920,,755 Sable,,Rancho Santa Margarita,CA,755,,Sable,,,,,92688,5582,33.586699,-117.630385,060590320534009,060590320534009,Interpolated,0640526,180.66
62,1032570566,,32 Brisa Fresca,,Rancho Santa Margarita,CA,32,,Brisa Fresca,,,,,92688,3314,33.651711,-117.619169,060590320484003,060590320484003,Rooftop,0659587,332.12
63,1032942931,,14 Boxthorn,,Rancho Santa Margarita,CA,14,,Boxthorn,,,,,92688,1261,33.651557,-117.592227,060590320503007,060590320503007,Rooftop,0659587,331.17
64,1033120808,,17 Mira Mesa,,Rancho Santa Margarita,CA,17,,Mira Mesa,,,,,92688,3418,33.656348,-117.613368,060590320494000,060590320494000,Rooftop,0659587,334.32
65,1033126153,7733000307,30012 Aventura,Ste A,Rancho Santa Margarita,CA,30012,,Aventura,,,Ste,A,92688,2047,33.635966,-117.606697,060590320531019,060590320531019,Rooftop,0659587,279.93
66,1033792964,,52 Via Contento,,Rancho Santa Margarita,CA,52,,Via Contento,,,,,92688,2979,33.620743,-117.612534,060590320533006,060590320533006,Rooftop,0659587,
67,1034020062,,223 Pasto Rico,,Rancho Santa Margarita,CA,223,,Pasto Rico,,,,,92688,2924,33.621898,-117.613429,060590320533002,060590320533002,Rooftop,0659587,252.95
68,1035161347,7958392597,29851 Aventura,Unit 80486,Rancho Santa Margarita,CA,29851,,Aventura,,,Unit,80486,92688,8220,33.636760,-117.609379,060590320531004,060590320531004,Rooftop,0659587,277.64
69,1036202644,7958392597,29851 Aventura,Unit 80534,Rancho Santa Margarita,CA,29851,,Aventura,,,Unit,80534,92688,8222,33.636760,-117.609379,060590320531004,060590320531004,Rooftop,0659587,277.64
70,1036376534,,4 Calle Arcos,,Rancho Santa Margarita,CA,4,,Calle Arcos,,,,,92688,2644,33.625148,-117.611605,060590320531037,060590320531037,Rooftop,0659587,259.50
