RecordID,ZipCode,City,County,State,Latitude,Longitude,DominantAreaCode,ResidentialDeliveries,ResidentialPOBoxes,BusinessDeliveries,BusinessPOBoxes,LastLineIndicator,TotalPopulation,PopulationWhite,PopulationAfricanAmerican,PopulationAmericanIndianAlaskaNative,PopulationAsian,PopulationHispanic,PopulationPacificIslander,PopulationOther,PopulationMultipleRace,MedianHouseholdIncome,PerCapitaIncome,MedianHomeValue,MedianAge,MedianAgeMale,MedianAgeFemale,EducationNinthGradeOrLess,EducationSomeHighSchool,EducationHighSchoolGraduate,EducationSomeCollegeWithoutDiploma,EducationAssociatesDegree,EducationBachelorsDegree
1,90001,FIRESTONE PARK,LOS ANGELES,CA,33.9740,-118.2494,323,13443,304,1466,53,,58245,20030,4799,1196,293,52765,70,25981,5876,52806,16530,617000,30.7,30.9,30.5,10877,7461,10348,7489,1759,2070
2,90001,LOS ANGELES,LOS ANGELES,CA,33.9740,-118.2494,323,13443,304,1466,53,L,58245,20030,4799,1196,293,52765,70,25981,5876,52806,16530,617000,30.7,30.9,30.5,10877,7461,10348,7489,1759,2070
3,90002,LOS ANGELES,LOS ANGELES,CA,33.9493,-118.2462,323,12443,177,452,36,L,54384,17275,9256,1893,627,44082,75,19551,5707,46159,15998,606000,28.9,28.2,29.6,8540,7883,10074,7595,1499,1759
4,90002,WATTS,LOS ANGELES,CA,33.9493,-118.2462,323,12443,177,452,36,,54384,17275,9256,1893,627,44082,75,19551,5707,46159,15998,606000,28.9,28.2,29.6,8540,7883,10074,7595,1499,1759
5,90003,BROADWAY MANCHESTER,LOS ANGELES,CA,33.9634,-118.2742,323,18149,69,1634,15,,75190,16669,12865,709,384,60929,45,33974,10544,47733,15605,625000,29.0,27.7,30.5,12795,10009,14650,8409,1905,2599
6,90003,LOS ANGELES,LOS ANGELES,CA,33.9634,-118.2742,323,18149,69,1634,15,L,75190,16669,12865,709,384,60929,45,33974,10544,47733,15605,625000,29.0,27.7,30.5,12795,10009,14650,8409,1905,2599
7,90004,LOS ANGELES,LOS ANGELES,CA,34.0761,-118.3031,323,24686,678,1277,203,L,59621,17681,2448,446,15224,28019,104,19907,3811,54947,36823,1562000,35.5,35.3,35.8,6262,4184,10210,7882,2123,12649
8,90004,OAKWOOD,LOS ANGELES,CA,34.0761,-118.3031,323,24686,678,1277,203,,59621,17681,2448,446,15224,28019,104,19907,3811,54947,36823,1562000,35.5,35.3,35.8,6262,4184,10210,7882,2123,12649
9,90005,LOS ANGELES,LOS ANGELES,CA,34.0590,-118.3024,213,19423,0,1025,0,L,36910,7616,2180,325,12212,18134,18,10302,4257,44913,29278,942000,35.6,35.0,36.5,5439,2877,6349,4010,1286,7549
10,90005,SANFORD,LOS ANGELES,CA,34.0590,-118.3024,213,19423,0,1025,0,,36910,7616,2180,325,12212,18134,18,10302,4257,44913,29278,942000,35.6,35.0,36.5,5439,2877,6349,4010,1286,7549
11,90006,LOS ANGELES,LOS ANGELES,CA,34.0502,-118.2928,213,21515,0,2014,0,L,57136,16801,1897,624,10531,41465,119,21104,6060,41068,20334,1006000,34.6,33.6,35.5,11262,5513,10520,7285,1744,6679
12,90006,PICO HEIGHTS,LOS ANGELES,CA,34.0502,-118.2928,213,21515,0,2014,0,,57136,16801,1897,624,10531,41465,119,21104,6060,41068,20334,1006000,34.6,33.6,35.5,11262,5513,10520,7285,1744,6679
13,90007,DOCKWEILER,LOS ANGELES,CA,34.0282,-118.2851,323,14435,270,1390,50,,41270,14367,4310,257,7734,21954,46,10462,4094,33222,20516,1126000,25.2,24.6,25.7,4835,3075,5811,11100,1515,6646
14,90007,LOS ANGELES,LOS ANGELES,CA,34.0282,-118.2851,323,14435,270,1390,50,L,41270,14367,4310,257,7734,21954,46,10462,4094,33222,20516,1126000,25.2,24.6,25.7,4835,3075,5811,11100,1515,6646
15,90008,BALDWIN HILLS,LOS ANGELES,CA,34.0107,-118.3417,323,14923,302,737,83,,31046,3221,20459,203,1298,7187,68,4179,1618,49379,35759,1149500,42.4,39.3,44.2,1707,1897,4957,7294,2134,4079
16,90008,CRENSHAW,LOS ANGELES,CA,34.0107,-118.3417,323,14923,302,737,83,,31046,3221,20459,203,1298,7187,68,4179,1618,49379,35759,1149500,42.4,39.3,44.2,1707,1897,4957,7294,2134,4079
17,90008,LEIMERT PARK,LOS ANGELES,CA,34.0107,-118.3417,323,14923,302,737,83,,31046,3221,20459,203,1298,7187,68,4179,1618,49379,35759,1149500,42.4,39.3,44.2,1707,1897,4957,7294,2134,4079
18,90008,LOS ANGELES,LOS ANGELES,CA,34.0107,-118.3417,323,14923,302,737,83,L,31046,3221,20459,203,1298,7187,68,4179,1618,49379,35759,1149500,42.4,39.3,44.2,1707,1897,4957,7294,2134,4079
19,90008,VIEW PARK,LOS ANGELES,CA,34.0107,-118.3417,323,14923,302,737,83,,31046,3221,20459,203,1298,7187,68,4179,1618,49379,35759,1149500,42.4,39.3,44.2,1707,1897,4957,7294,2134,4079
20,90010,LOS ANGELES,LOS ANGELES,CA,34.0618,-118.3036,213,2735,0,2681,0,L,4313,1046,239,36,2672,444,65,103,152,76547,57219,959000,34.0,33.5,35.7,196,64,737,781,251,1510
21,90010,SANFORD,LOS ANGELES,CA,34.0618,-118.3036,213,2735,0,2681,0,,4313,1046,239,36,2672,444,65,103,152,76547,57219,959000,34.0,33.5,35.7,196,64,737,781,251,1510
