ZipCode,TotalPopulation,PopulationWhite,PopulationAfricanAmerican,PopulationAmericanIndianAlaskaNative,PopulationAsian,PopulationHispanic,PopulationPacificIslander,PopulationOther,PopulationMultipleRace,PerCapitaIncome,MedianAge,MedianAgeMale,MedianAgeFemale,EducationNinthGradeOrLess,EducationSomeHighSchool,EducationHighSchoolGraduate,EducationSomeCollegeWithoutDiploma,EducationAssociatesDegree,EducationBachelorsDegree,loc_name,product_name,price_current,Midgrade,Premium,Regular
90001,58245,20030,4799,1196,293,52765,70,25981,5876,16530.0,30.7,30.9,30.5,10877,7461,10348,7489,1759,2070,World,Regular,5.49,4.453282442748091,4.497862595419847,4.441985294117647
90002,54384,17275,9256,1893,627,44082,75,19551,5707,15998.0,28.9,28.2,29.6,8540,7883,10074,7595,1499,1759,Us Gasoline,Regular,5.29,4.746,4.85,4.57875
90003,75190,16669,12865,709,384,60929,45,33974,10544,15605.0,29.0,27.7,30.5,12795,10009,14650,8409,1905,2599,ARCO,Regular,5.25,3.4815384615384612,3.5892307692307694,4.26
90004,59621,17681,2448,446,15224,28019,104,19907,3811,36823.0,35.5,35.3,35.8,6262,4184,10210,7882,2123,12649,76,Regular,5.65,5.32984496124031,5.43093023255814,5.299076923076923
90005,36910,7616,2180,325,12212,18134,18,10302,4257,29278.0,35.6,35.0,36.5,5439,2877,6349,4010,1286,7549,Shell,Regular,5.85,5.013243243243243,5.119189189189189,5.028918918918919
90006,57136,16801,1897,624,10531,41465,119,21104,6060,20334.0,34.6,33.6,35.5,11262,5513,10520,7285,1744,6679,Chevron,Regular,0.0,3.206153846153846,3.263076923076923,3.87
90007,41270,14367,4310,257,7734,21954,46,10462,4094,20516.0,25.2,24.6,25.7,4835,3075,5811,11100,1515,6646,76,Regular,5.59,5.21,5.28,5.056666666666667
90008,31046,3221,20459,203,1298,7187,68,4179,1618,35759.0,42.4,39.3,44.2,1707,1897,4957,7294,2134,4079,Chevron,Regular,5.89,4.772941176470589,4.884558823529411,5.040147058823529
90010,4313,1046,239,36,2672,444,65,103,152,57219.0,34.0,33.5,35.7,196,64,737,781,251,1510,Shell,Regular,5.84,5.94,6.04,5.84
90011,109511,34228,6681,1547,705,100502,105,54332,11913,15514.0,30.1,29.2,30.7,24373,13225,18144,12897,2928,3726,SC Fuels,Regular,0.0,5.8707692307692305,5.576428571428572,5.277142857142857
90012,39709,10063,5465,444,13596,11580,61,6870,3210,33687.0,34.9,34.1,37.3,3807,5076,7414,5880,1956,7762,Shell,Regular,6.74,4.64,4.855098039215687,5.053921568627451
90013,13413,4641,3799,210,1923,2917,135,1203,1502,44799.0,42.8,43.2,41.9,650,1445,2800,2700,704,3122,ARCO,Regular,5.55,5.027777777777778,5.127777777777777,5.453333333333333
90016,45884,16100,12997,82,2070,25152,34,8651,5950,31244.0,35.0,33.1,37.3,4552,3115,7999,8688,2288,6383,Sinclair,Regular,5.49,4.0,4.626,4.324666666666667
90019,61061,19471,10822,390,10762,26817,216,13247,6153,36378.0,38.6,37.8,39.5,6694,4114,10545,8936,2906,11721,G&M,Regular,5.59,5.640000000000001,5.74,5.54
90022,65110,26918,376,1405,726,62888,16,28140,7529,20021.0,32.7,31.8,33.9,10464,8066,12947,10438,2112,3555,ARCO,Regular,5.45,4.7958510638297875,4.9140625,4.90340206185567
90024,50611,29098,2050,156,13106,6945,106,1783,4312,49783.0,22.7,23.9,22.0,585,527,5197,20476,1676,10190,Speedway Express,Regular,5.69,4.499102564102564,4.6066666666666665,4.327215189873418
90025,44608,27694,1523,22,10466,5936,17,1591,3295,65337.0,33.9,32.7,35.3,977,779,3428,5232,1554,16980,Gulf,Regular,5.73,5.510714285714286,5.6146666666666665,4.955333333333333
90026,65921,26122,2279,548,9800,32695,163,21349,5660,41605.0,35.6,35.5,35.6,6951,4663,8410,9962,2914,15878,Speedway Express,Regular,5.69,6.3425,6.452500000000001,6.155
90027,44678,29049,1223,88,5515,10065,54,5594,3155,58485.0,38.2,38.1,38.2,1540,1614,6002,6195,2044,14923,G&M,Regular,5.49,4.388032786885246,4.69344262295082,4.7404918032786885
90028,29887,15755,2733,341,3482,8797,0,4884,2692,43355.0,36.1,37.1,34.3,1551,749,4707,5561,1905,9795,Mobil,Regular,6.05,2.9699999999999998,3.84375,5.8725
90032,45298,13257,971,594,5449,34788,8,20537,4482,26454.0,36.5,34.6,38.1,5423,4674,8668,7730,2047,5308,Chevron,Regular,5.99,4.92875,4.745882352941177,4.840588235294118
90034,53321,25577,5050,444,10840,13887,93,6313,5004,55223.0,35.0,34.7,35.2,2081,1966,4529,6838,2816,17040,Chevron,Regular,5.79,5.99,6.33,5.79
90039,28839,15257,403,741,5350,9428,12,3833,3243,61244.0,40.5,39.8,41.2,1802,943,3305,4153,1675,8768,Chevron,Regular,6.49,5.008333333333334,2.046666666666667,5.94
90040,11844,5183,79,573,177,11228,0,4431,1401,22084.0,39.3,40.2,38.8,1958,1249,2539,2027,478,919,Shell,Regular,5.59,4.1230769230769235,4.368461538461538,4.264102564102564
90041,28956,12665,616,471,7709,10300,37,3906,3552,47048.0,40.0,38.6,41.1,1156,1023,3942,5521,1508,7506,United Oil,Regular,5.49,5.02875,5.147916666666666,5.136666666666667
90043,44272,6849,25973,289,1005,12843,141,6301,3714,33108.0,40.4,37.9,42.5,2621,3083,8069,9046,2788,6417,76,Regular,5.69,4.9936842105263155,5.1365,4.8475
90044,100225,22203,30662,718,649,66943,135,34474,11384,17670.0,31.2,29.7,32.9,13405,10964,19879,16067,3870,4667,76,Regular,5.79,4.279333333333333,5.201333333333333,4.958
90045,41411,24341,4192,263,5962,8095,89,1324,5240,60757.0,35.5,34.3,37.0,410,862,2957,10389,2311,11262,G&M,Regular,5.49,4.280980392156863,4.555660377358491,4.425471698113208
90046,48749,35153,2825,194,3224,7386,46,2371,4936,72464.0,38.4,39.3,37.1,838,962,4571,7337,3320,19472,Chevron,Regular,5.69,4.632083333333333,4.9816666666666665,4.96875
90047,51494,8020,28625,465,464,20268,398,10363,3159,28122.0,37.1,35.1,38.8,3763,3405,11392,11296,3276,4707,76,Regular,5.74,5.865,6.015000000000001,5.665
90049,35853,29244,480,52,2546,2825,5,520,3006,114719.0,39.3,39.9,38.9,196,384,1731,3341,898,12032,Shell,Regular,0.0,5.275,5.366304347826087,5.35108695652174
